date,cohort,action,symbol
2026-01-07,sp400,add,RNR
2026-01-07,sp400,add,BLKB
2026-01-07,sp400,add,RS
2026-01-07,sp400,add,GT
2026-01-07,sp400,add,HR
2026-01-07,sp400,add,WCC
2026-01-07,sp400,add,AIT
2026-01-07,sp400,add,AFG
2026-01-07,sp400,add,SSD
2026-01-07,sp400,add,AAL
2026-01-07,sp400,add,VLY
2026-01-07,sp400,add,MAT
2026-01-07,sp400,add,CG
2026-01-07,sp400,add,ACM
2026-01-07,sp400,add,NXST
2026-01-07,sp400,add,AMKR
2026-01-07,sp400,add,RRX
2026-01-07,sp400,add,AYI
2026-01-07,sp400,add,IBOC
2026-01-07,sp400,add,BURL
2026-01-07,sp400,add,XPO
2026-01-07,sp400,add,CW
2026-01-07,sp400,add,AVT
2026-01-07,sp400,add,WLK
2026-01-07,sp400,add,KNX
2026-01-07,sp400,add,CASY
2026-01-07,sp400,add,RGEN
2026-01-07,sp400,add,GAP
2026-01-07,sp400,add,FLS
2026-01-07,sp400,add,LOPE
2026-01-07,sp400,add,ONTO
2026-01-07,sp400,add,CLH
2026-01-07,sp400,add,PBF
2026-01-07,sp400,add,TXRH
2026-01-07,sp400,add,CAR
2026-01-07,sp400,add,DOCS
2026-01-07,sp400,add,OKTA
2026-01-07,sp400,add,CASH_USD
2026-01-07,sp400,add,DCI
2026-01-07,sp400,add,HQY
2026-01-07,sp400,add,VOYA
2026-01-07,sp400,add,CIVI
2026-01-07,sp400,add,WEX
2026-01-07,sp400,add,ASH
2026-01-07,sp400,add,EXLS
2026-01-07,sp400,add,KBH
2026-01-07,sp400,add,KMPR
2026-01-07,sp400,add,CHE
2026-01-07,sp400,add,GBCI
2026-01-07,sp400,add,CGNX
2026-01-07,sp400,add,AVTR
2026-01-07,sp400,add,DTM
2026-01-07,sp400,add,CNO
2026-01-07,sp400,add,BJ
2026-01-07,sp400,add,PPC
2026-01-07,sp400,add,PLNT
2026-01-07,sp400,add,DKS
2026-01-07,sp400,add,AM
2026-01-07,sp400,add,GEF
2026-01-07,sp400,add,PNFP
2026-01-07,sp400,add,KD
2026-01-07,sp400,add,MZTI
2026-01-07,sp400,add,CSL
2026-01-07,sp400,add,MIDD
2026-01-07,sp400,add,NWE
2026-01-07,sp400,add,CFR
2026-01-07,sp400,add,APPF
2026-01-07,sp400,add,HOG
2026-01-07,sp400,add,PFGC
2026-01-07,sp400,add,FIVE
2026-01-07,sp400,add,BILL
2026-01-07,sp400,add,ASB
2026-01-07,sp400,add,FNF
2026-01-07,sp400,add,SAM
2026-01-07,sp400,add,PATH
2026-01-07,sp400,add,WTS
2026-01-07,sp400,add,MTZ
2026-01-07,sp400,add,ASGN
2026-01-07,sp400,add,CADE
2026-01-07,sp400,add,ILMN
2026-01-07,sp400,add,LAMR
2026-01-07,sp400,add,FLG
2026-01-07,sp400,add,ELF
2026-01-07,sp400,add,ALK
2026-01-07,sp400,add,VNO
2026-01-07,sp400,add,EEFT
2026-01-07,sp400,add,NTNX
2026-01-07,sp400,add,UGI
2026-01-07,sp400,add,GTM
2026-01-07,sp400,add,ZION
2026-01-07,sp400,add,BMRN
2026-01-07,sp400,add,NLY
2026-01-07,sp400,add,PCTY
2026-01-07,sp400,add,PK
2026-01-07,sp400,add,BHF
2026-01-07,sp400,add,SATS
2026-01-07,sp400,add,MTSI
2026-01-07,sp400,add,VVV
2026-01-07,sp400,add,LFUS
2026-01-07,sp400,add,AMH
2026-01-07,sp400,add,FTI
2026-01-07,sp400,add,WMS
2026-01-07,sp400,add,TNL
2026-01-07,sp400,add,TXNM
2026-01-07,sp400,add,TLN
2026-01-07,sp400,add,CHDN
2026-01-07,sp400,add,BIO
2026-01-07,sp400,add,TRU
